country,year,basic_sanitation_access_percent,child_mortality_0_5_year_olds_dying_per_1000_born,children_per_woman_total_fertility,co2_emissions_tonnes_per_person,employment_rate_percent,hdi,income_per_person_gdppercapita_ppp_inflation_adjusted,life_expectancy,population_total,suicide_per_100000_people
Albania,1999,88.3,25.9,2.16,0.966,48.5,0.667,5910,75.4,3130000,1.88
Albania,2000,89.1,24.5,2.07,1.03,48.0,0.673,6460,76.0,3130000,4.04
Albania,2001,89.9,23.1,1.98,1.2,48.4,0.68,6780,75.9,3130000,4.53
Albania,2002,90.7,21.8,1.9,1.38,48.2,0.687,7180,75.6,3120000,4.08
Albania,2003,91.4,20.4,1.82,1.34,48.0,0.692,7610,75.8,3100000,4.72
Albania,2006,93.6,16.7,1.67,1.29,48.4,0.718,9180,77.5,3030000,4.06
Albania,2007,94.3,15.5,1.65,1.46,47.9,0.724,9940,77.6,3000000,5.34
Albania,2009,95.6,13.3,1.65,1.56,46.6,0.74,10800,78.1,2950000,3.08
Armenia,1999,86.9,30.8,1.3,1.14,49.7,0.649,4050,72.4,3070000,1.58
Armenia,2000,87.3,29.3,1.2,1.16,49.1,0.653,4460,72.5,3050000,1.53
Armenia,2001,87.7,27.8,1.2,1.01,48.4,0.663,5080,72.7,3030000,2.15
Armenia,2002,88.1,26.5,1.4,1.15,47.8,0.672,5820,72.8,3020000,1.84
Armenia,2007,90.1,20.5,1.4,1.92,46.2,0.727,10500,73.5,2910000,1.74
Armenia,2011,91.8,16.7,1.73,1.99,49.9,0.737,10400,74.6,2880000,2.39
Armenia,2012,92.2,15.9,1.71,1.91,50.9,0.743,10700,75.1,2900000,1.92
Armenia,2013,92.6,15.1,1.69,1.91,49.9,0.746,11000,75.2,2910000,1.54
Armenia,2014,93.1,14.4,1.66,1.65,48.9,0.748,11300,75.1,2930000,2.02
Armenia,2015,93.4,13.7,1.63,1.76,49.1,0.751,11300,75.3,2940000,1.85
Australia,1999,100.0,6.19,1.76,18.5,59.4,0.898,38500,79.7,19000000,11.7
Australia,2000,100.0,6.08,1.76,18.6,59.3,0.9,38700,80.1,19200000,11.8
Australia,2001,100.0,5.99,1.78,18.7,59.6,0.903,39700,80.3,19400000,11.0
Australia,2002,100.0,5.91,1.79,18.9,60.0,0.904,40400,80.6,19600000,10.1
Australia,2003,100.0,5.82,1.82,19.3,60.2,0.907,41600,80.9,19900000,9.66
Australia,2005,100.0,5.59,1.89,19.1,61.8,0.905,42900,81.5,20500000,9.45
Australia,2006,100.0,5.41,1.92,19.2,62.5,0.908,44300,81.5,20900000,9.71
Australia,2007,100.0,5.21,1.94,19.0,62.8,0.922,45000,81.7,21300000,9.96
Australia,2008,100.0,4.99,1.94,18.8,61.9,0.923,44900,81.9,21800000,9.62
Australia,2009,100.0,4.77,1.93,18.4,62.1,0.926,45100,82.1,22200000,9.82
Australia,2010,100.0,4.54,1.92,18.0,62.2,0.928,45600,82.3,22500000,9.73
Australia,2011,100.0,4.32,1.9,17.8,61.8,0.932,46600,82.6,22900000,10.3
Australia,2012,100.0,4.13,1.89,17.1,61.3,0.926,47000,82.7,23300000,10.2
Australia,2013,100.0,3.98,1.87,16.7,60.8,0.929,47400,82.7,23600000,11.2
Australia,2014,100.0,3.87,1.86,16.8,61.1,0.933,47800,82.7,23900000,11.6
Austria,1999,100.0,5.5,1.37,8.22,55.8,0.838,46600,78.5,8070000,15.9
Austria,2000,100.0,5.41,1.33,8.69,55.6,0.849,47000,78.9,8100000,14.8
Austria,2001,100.0,5.31,1.39,8.87,56.0,0.838,47500,79.0,8130000,15.2
Austria,2002,100.0,5.2,1.38,9.52,55.9,0.842,47700,79.1,8180000,14.1
Austria,2003,100.0,5.05,1.42,9.49,53.5,0.849,48700,79.5,8220000,13.7
Austria,2004,100.0,4.9,1.41,9.63,54.8,0.855,49500,79.8,8250000,13.1
Austria,2005,100.0,4.76,1.41,9.31,55.4,0.861,50900,80.1,8290000,11.9
Austria,2006,100.0,4.65,1.38,8.96,56.5,0.881,52700,80.3,8310000,11.8
Austria,2007,100.0,4.54,1.41,8.85,57.2,0.884,53300,80.5,8340000,11.2
Austria,2008,100.0,4.44,1.39,8.1,56.8,0.886,51100,80.5,8370000,11.4
Austria,2009,100.0,4.33,1.44,8.6,57.1,0.895,51900,80.8,8410000,11.4
Austria,2010,100.0,4.2,1.44,8.3,57.3,0.897,53300,81.0,8450000,11.4
Austria,2011,100.0,4.05,1.46,7.95,57.4,0.899,53400,81.2,8500000,10.9
Austria,2012,100.0,3.91,1.47,7.97,57.2,0.896,53100,81.3,8560000,10.7
Austria,2013,100.0,3.8,1.48,7.49,56.8,0.904,53000,81.5,8620000,11.2
Austria,2014,100.0,3.71,1.49,7.7,56.7,0.906,53000,81.6,8680000,10.2
Austria,2015,100.0,3.65,1.49,7.7,56.8,0.909,53400,81.8,8750000,9.75
Azerbaijan,1999,63.2,75.0,2.03,3.64,55.8,0.641,4060,66.5,8120000,0.836
Azerbaijan,2006,75.9,46.0,1.84,3.49,59.6,0.712,11900,68.2,8720000,0.648
Bahrain,2004,99.9,10.6,2.45,22.3,67.7,0.792,47500,72.7,889000,3.96
Bahrain,2005,99.9,10.2,2.37,20.3,68.2,0.793,46900,73.0,958000,2.14
Bahrain,2006,99.9,9.79,2.29,25.9,68.9,0.796,47000,73.6,1040000,3.05
Bahrain,2007,100.0,9.35,2.23,26.7,69.7,0.796,46400,74.0,1110000,2.86
Bahrain,2008,100.0,8.92,2.18,23.7,70.6,0.794,44800,74.5,1190000,2.46
Bahrain,2009,100.0,8.53,2.14,23.5,71.4,0.796,44600,75.0,1240000,1.1
Bahrain,2010,100.0,8.23,2.12,22.4,70.5,0.798,44200,75.3,1280000,1.38
Bahrain,2013,100.0,7.7,2.07,23.3,70.7,0.81,48200,76.6,1340000,0.541
Belarus,1999,91.7,12.8,1.24,5.62,58.5,0.682,8050,69.0,9870000,31.2
Belarus,2000,91.6,11.8,1.24,5.67,58.8,0.689,8480,68.6,9810000,29.5
Belgium,1999,99.5,5.81,1.63,12.3,48.8,0.873,43200,78.0,10300000,17.6
Belgium,2000,99.5,5.59,1.65,12.2,47.6,0.876,43500,78.3,10300000,17.6
Belgium,2001,99.5,5.4,1.68,12.2,47.4,0.879,44000,78.5,10400000,16.7
Belgium,2002,99.5,5.22,1.7,12.3,47.1,0.882,44300,78.7,10400000,17.0
Belgium,2003,99.5,5.07,1.73,12.3,48.0,0.885,45700,79.1,10500000,16.0
Belgium,2004,99.5,4.94,1.76,11.9,48.7,0.889,46500,79.3,10500000,15.8
Belgium,2005,99.5,4.83,1.78,11.7,48.6,0.896,47400,79.6,10600000,15.2
Belgium,2006,99.5,4.73,1.8,11.3,49.6,0.899,48700,79.8,10700000,14.2
Belgium,2007,99.5,4.64,1.81,11.2,49.9,0.899,48600,79.9,10800000,15.4
Belgium,2008,99.5,4.55,1.81,9.93,49.2,0.899,47200,80.0,10900000,15.3
Belgium,2009,99.5,4.46,1.81,10.4,49.5,0.903,48100,80.2,10900000,15.3
Belgium,2010,99.5,4.37,1.8,9.48,49.3,0.904,48300,80.4,11000000,15.4
Belgium,2011,99.5,4.29,1.8,9.17,49.1,0.905,48400,80.5,11100000,14.8
Belgium,2012,99.5,4.19,1.79,9.11,49.0,0.908,48400,80.7,11200000,13.7
Belgium,2013,99.5,4.09,1.79,8.55,49.0,0.91,48900,81.0,11200000,13.5
Belgium,2014,99.5,3.99,1.79,8.84,48.9,0.913,49600,81.1,11300000,13.3
Bosnia and Herzegovina,2010,95.2,6.87,1.31,6.5,34.7,0.722,11200,76.4,3660000,0.115
Bosnia and Herzegovina,2013,95.3,6.27,1.33,5.55,34.0,0.754,12100,76.7,3480000,6.17
Brunei,2010,96.3,9.8,1.86,24.3,63.6,0.836,69400,73.9,394000,1.05
Brunei,2011,96.3,9.99,1.87,23.8,63.8,0.843,69100,74.0,399000,1.71
Bulgaria,1999,85.8,17.5,1.18,5.66,41.8,0.712,10200,70.2,8000000,13.1
Bulgaria,2000,85.8,16.8,1.19,6.17,41.4,0.722,10800,70.4,7930000,12.4
Bulgaria,2001,85.8,15.9,1.22,5.87,41.9,0.729,11700,70.7,7870000,12.4
Bulgaria,2002,85.9,15.1,1.26,6.47,43.4,0.738,12400,70.9,7800000,10.4
Bulgaria,2003,85.9,14.2,1.3,6.4,44.9,0.745,13300,71.0,7740000,9.52
Bulgaria,2004,85.9,13.3,1.34,6.59,45.3,0.75,14400,71.1,7690000,9.22
Bulgaria,2005,85.9,12.5,1.38,6.8,47.6,0.756,15500,71.2,7630000,9.07
Bulgaria,2006,85.9,11.9,1.42,7.35,50.1,0.764,16600,71.5,7580000,8.21
Bulgaria,2007,85.9,11.4,1.45,7.18,52.0,0.771,17800,71.9,7520000,8.73
Bulgaria,2008,85.9,11.1,1.47,6.12,50.6,0.774,17300,72.1,7470000,8.01
Bulgaria,2009,85.9,10.7,1.49,6.44,47.9,0.779,17500,72.3,7430000,7.93
Bulgaria,2010,85.9,10.3,1.5,7.2,46.6,0.782,18000,72.7,7380000,7.48
Bulgaria,2011,86.0,9.79,1.51,6.59,46.6,0.786,18200,73.0,7330000,8.38
Bulgaria,2012,86.0,9.23,1.52,5.84,46.9,0.792,18400,73.3,7290000,7.0
Bulgaria,2013,86.0,8.68,1.53,6.23,48.0,0.797,18800,73.0,7250000,6.85
Canada,1999,99.8,6.21,1.52,18.7,60.8,0.868,37300,79.4,30600000,10.7
Canada,2000,99.8,6.17,1.52,18.3,60.7,0.872,37400,79.6,30900000,10.8
Canada,2001,99.8,6.15,1.52,18.3,61.2,0.877,38300,79.8,31200000,10.5
Canada,2002,99.8,6.13,1.53,18.7,62.0,0.882,39400,80.0,31500000,10.6
Canada,2003,99.8,6.1,1.55,18.4,62.2,0.887,40500,80.2,31800000,10.1
Canada,2004,99.7,6.05,1.57,17.9,62.2,0.892,42100,80.4,32200000,10.2
Croatia,1999,96.2,8.31,1.44,4.45,45.0,0.749,18200,74.7,4430000,18.0
Croatia,2000,96.2,8.0,1.42,4.73,44.9,0.761,19500,74.9,4410000,15.6
Croatia,2001,96.2,7.68,1.39,4.99,44.4,0.767,20600,75.0,4400000,15.2
Croatia,2002,96.2,7.36,1.38,5.31,45.0,0.773,21800,75.1,4390000,14.9
Croatia,2003,96.2,7.04,1.37,5.23,46.2,0.779,22700,75.6,4380000,14.6
Croatia,2004,96.3,6.73,1.38,5.35,46.6,0.785,23600,75.6,4380000,14.8
Croatia,2005,96.3,6.43,1.4,5.4,46.9,0.794,24800,76.0,4370000,13.6
Croatia,2006,96.3,6.15,1.41,5.72,47.8,0.801,26000,75.9,4360000,12.9
Croatia,2007,96.3,5.9,1.43,5.44,48.7,0.805,26500,75.9,4350000,13.0
Croatia,2008,96.3,5.67,1.45,5.04,48.4,0.804,24600,76.5,4340000,13.0
Croatia,2009,96.4,5.47,1.47,4.87,46.6,0.811,24400,76.8,4330000,12.7
Croatia,2010,96.4,5.3,1.48,4.8,44.8,0.817,24400,77.1,4310000,11.4
Croatia,2011,96.4,5.16,1.49,4.45,43.2,0.82,23900,77.4,4300000,13.1
Croatia,2012,96.4,5.05,1.49,4.32,42.1,0.825,23800,77.8,4280000,12.2
Croatia,2013,96.5,4.96,1.49,4.16,43.4,0.827,23900,77.9,4260000,12.3
Croatia,2014,96.5,4.88,1.47,4.22,44.3,0.83,24600,77.7,4230000,12.2
Croatia,2015,96.5,4.82,1.46,4.3,44.7,0.832,25700,78.4,4210000,11.4
Cyprus,2003,99.8,5.19,1.55,7.74,60.7,0.826,36400,77.9,1010000,0.865
Cyprus,2004,99.8,4.88,1.52,7.79,59.7,0.83,37700,77.9,1030000,2.06
Cyprus,2005,99.7,4.57,1.5,7.84,60.4,0.836,38800,78.2,1050000,2.29
Cyprus,2006,99.7,4.29,1.48,8.01,61.1,0.844,39900,78.3,1060000,2.18
Cyprus,2007,99.6,4.03,1.46,8.03,61.1,0.852,40300,78.8,1080000,4.73
Cyprus,2008,99.6,3.79,1.44,7.68,60.2,0.854,38500,79.1,1100000,3.48
Cyprus,2009,99.5,3.57,1.42,7.25,60.0,0.85,38200,79.5,1110000,4.05
Cyprus,2010,99.5,3.37,1.41,6.89,58.2,0.853,37400,79.8,1120000,2.95
Cyprus,2011,99.4,3.19,1.39,6.36,55.4,0.852,35600,80.1,1140000,3.88
Cyprus,2012,99.4,3.03,1.37,5.72,52.7,0.854,33300,80.3,1140000,4.59
Cyprus,2013,99.3,2.87,1.36,6.01,53.1,0.856,33100,80.4,1150000,4.6
Cyprus,2014,99.3,2.74,1.35,5.99,53.3,0.864,34400,80.5,1160000,4.19
Cyprus,2015,99.2,2.61,1.34,6.29,54.7,0.869,36500,80.7,1170000,3.75
Czech Republic,1999,99.1,5.46,1.12,12.4,54.9,0.796,25100,75.2,10300000,13.3
Czech Republic,2000,99.1,5.18,1.14,12.4,55.0,0.806,25900,75.5,10300000,13.0
Czech Republic,2001,99.1,4.97,1.17,12.1,55.4,0.813,26400,75.7,10300000,12.3
Czech Republic,2002,99.1,4.78,1.21,12.5,54.9,0.822,27300,75.6,10200000,13.7
Czech Republic,2003,99.1,4.58,1.25,12.5,54.3,0.825,28600,76.1,10200000,12.6
Czech Republic,2004,99.1,4.36,1.3,12.3,54.8,0.835,30500,76.4,10300000,12.4
Czech Republic,2005,99.1,4.14,1.35,12.3,55.1,0.843,32500,77.0,10300000,10.9
Czech Republic,2006,99.1,3.92,1.39,12.4,55.7,0.85,34100,77.2,10400000,10.7
Czech Republic,2007,99.1,3.72,1.42,11.8,55.9,0.854,34700,77.3,10400000,10.6
Czech Republic,2008,99.1,3.54,1.45,11.0,54.7,0.857,32900,77.6,10500000,11.1
Czech Republic,2009,99.1,3.38,1.47,11.2,54.1,0.862,33600,77.8,10500000,11.4
Czech Republic,2010,99.1,3.25,1.48,10.9,54.3,0.865,34100,78.0,10600000,12.2
Czech Republic,2011,99.1,3.16,1.49,10.5,54.6,0.865,33800,78.3,10600000,12.4
Czech Republic,2012,99.1,3.11,1.5,10.1,55.2,0.874,33800,78.5,10600000,12.2
Czech Republic,2013,99.1,3.11,1.51,9.83,55.8,0.879,34500,79.0,10600000,11.2
Czech Republic,2014,99.1,3.15,1.52,9.89,56.6,0.882,36300,79.0,10600000,10.2
Czech Republic,2015,99.1,3.22,1.54,10.0,57.8,0.885,37100,79.2,10600000,10.0
Denmark,1999,99.6,5.5,1.77,10.2,62.8,0.863,49100,77.2,5340000,11.0
Denmark,2000,99.6,5.39,1.75,10.4,62.7,0.876,49300,77.3,5360000,10.7
Denmark,2001,99.6,5.28,1.72,10.3,63.3,0.883,49400,77.4,5370000,10.2
Denmark,2002,99.6,5.15,1.76,11.3,62.0,0.894,49400,77.7,5390000,9.33
Denmark,2003,99.6,5.0,1.78,10.2,62.6,0.898,50600,78.0,5400000,10.1
Denmark,2004,99.6,4.83,1.8,9.51,62.7,0.903,51600,78.3,5420000,8.97
Denmark,2005,99.6,4.65,1.85,10.9,63.7,0.905,53500,78.5,5440000,9.31
Denmark,2006,99.6,4.47,1.85,10.0,63.3,0.904,53700,78.7,5470000,8.4
Denmark,2007,99.6,4.31,1.89,9.33,63.8,0.909,53200,79.0,5500000,8.74
Denmark,2008,99.6,4.19,1.84,8.84,61.4,0.906,50300,79.2,5530000,8.69
Denmark,2009,99.6,4.11,1.88,8.86,59.6,0.91,51000,79.5,5550000,7.86
Denmark,2010,99.6,4.07,1.76,7.93,59.1,0.922,51500,79.9,5580000,8.37
Denmark,2011,99.6,4.07,1.73,7.11,58.4,0.924,51400,80.3,5610000,9.22
Denmark,2012,99.6,4.11,1.88,7.41,58.0,0.926,51600,80.5,5640000,8.37
Denmark,2013,99.6,4.16,1.83,6.63,58.0,0.928,52200,80.8,5660000,8.69
Denmark,2014,99.6,4.22,1.79,6.19,58.2,0.926,53100,81.0,5690000,7.59
Egypt,2003,92.7,37.7,3.05,2.01,41.3,0.629,8180,68.5,74200000,0.0906
Egypt,2004,92.8,36.0,3.02,2.19,41.3,0.635,8400,68.8,75500000,0.0926
Egypt,2005,92.9,34.4,3.0,2.29,42.1,0.643,8810,68.9,76900000,0.0628
Egypt,2006,93.1,33.0,3.02,2.38,43.9,0.651,9280,69.2,78200000,0.0454
Egypt,2007,93.2,31.6,3.06,2.45,44.3,0.659,9760,69.3,79600000,0.0669
Egypt,2013,93.9,24.6,3.34,2.47,42.3,0.683,10400,70.3,90400000,0.103
Egypt,2014,94.0,23.6,3.31,2.37,41.7,0.69,10600,69.9,92400000,0.0578
Estonia,1999,99.7,10.9,1.32,11.0,51.1,0.78,17800,71.0,1400000,23.2
Estonia,2000,99.7,10.1,1.34,11.3,50.5,0.79,19000,70.8,1390000,25.0
Estonia,2001,99.7,9.24,1.38,11.0,51.1,0.799,20400,71.4,1380000,23.3
Estonia,2002,99.7,8.47,1.43,12.5,52.2,0.806,22100,72.1,1370000,21.2
Estonia,2003,99.6,7.76,1.48,12.7,52.9,0.814,23800,72.5,1360000,20.4
Estonia,2004,99.6,7.1,1.54,12.6,53.9,0.825,26200,73.0,1360000,16.8
Estonia,2005,99.5,6.5,1.58,12.2,57.0,0.832,28900,73.3,1350000,14.7
Estonia,2006,99.5,5.94,1.62,14.9,57.9,0.839,31200,73.3,1340000,15.2
Estonia,2007,99.4,5.43,1.64,13.3,58.0,0.841,29700,74.4,1340000,15.2
Estonia,2008,99.4,4.98,1.65,10.9,52.6,0.838,25500,75.2,1340000,16.2
Estonia,2009,99.3,4.57,1.64,14.3,50.4,0.844,26200,76.3,1330000,13.6
Estonia,2010,99.3,4.22,1.63,14.4,53.7,0.853,28200,76.3,1330000,13.1
Estonia,2011,99.2,3.91,1.62,13.6,55.1,0.859,29200,76.5,1320000,13.9
Estonia,2012,99.2,3.64,1.61,14.9,56.0,0.863,29700,77.2,1320000,12.6
Estonia,2013,99.1,3.4,1.61,14.4,56.7,0.865,30700,77.3,1320000,15.2
Estonia,2014,99.1,3.18,1.62,12.1,58.3,0.871,31200,77.8,1320000,12.4
Finland,1999,99.4,4.27,1.73,11.0,54.2,0.858,39900,78.0,5190000,20.2
Finland,2000,99.4,4.16,1.73,12.0,54.9,0.864,40900,78.4,5200000,20.5
Finland,2001,99.4,4.07,1.72,12.5,54.9,0.867,41500,78.6,5210000,18.5
Finland,2002,99.4,3.98,1.76,13.9,54.6,0.87,42200,78.8,5230000,18.1
Finland,2003,99.4,3.88,1.8,13.2,54.3,0.891,43800,79.0,5240000,18.1
Finland,2004,99.4,3.77,1.8,10.9,55.5,0.895,44800,79.3,5260000,16.2
Finland,2005,99.4,3.64,1.84,13.0,56.3,0.899,46500,79.6,5280000,17.6
Finland,2006,99.4,3.51,1.83,12.6,57.1,0.901,48700,79.7,5300000,16.3
Finland,2007,99.4,3.36,1.85,11.0,57.6,0.904,48900,80.0,5320000,17.1
Finland,2008,99.4,3.21,1.86,10.5,55.5,0.899,44700,80.2,5340000,17.0
Finland,2009,99.4,3.06,1.87,12.0,54.8,0.903,45900,80.4,5370000,15.8
Finland,2010,99.4,2.9,1.83,10.5,55.2,0.907,46900,80.7,5390000,14.8
Finland,2011,99.4,2.73,1.8,9.47,55.1,0.908,46000,80.9,5410000,14.1
Finland,2012,99.4,2.56,1.85,9.52,54.2,0.916,45400,81.2,5440000,14.3
Finland,2013,99.4,2.38,1.83,8.73,53.8,0.918,45000,81.4,5460000,12.7
France,1999,98.7,5.37,1.82,7.06,49.9,0.842,39900,79.2,59000000,15.0
France,2000,98.7,5.23,1.84,7.09,50.5,0.845,40400,79.3,59400000,14.5
France,2001,98.7,5.07,1.87,6.96,50.6,0.845,40500,79.5,59800000,14.6
France,2002,98.7,4.9,1.89,7.02,51.5,0.848,40600,79.7,60300000,14.8
France,2003,98.7,4.72,1.92,6.99,51.1,0.852,41400,80.3,60700000,14.5
France,2004,98.7,4.58,1.94,6.99,51.4,0.86,41800,80.6,61100000,14.1
France,2005,98.7,4.47,1.96,6.77,51.3,0.865,42500,80.8,61500000,13.6
France,2006,98.7,4.4,1.97,6.56,51.8,0.867,43300,81.1,61900000,13.0
France,2007,98.7,4.34,1.98,6.42,52.3,0.869,43100,81.2,62200000,13.2
France,2008,98.7,4.31,1.99,6.12,51.5,0.869,41700,81.4,62500000,13.3
France,2009,98.7,4.27,1.99,6.2,51.3,0.872,42300,81.6,62900000,13.1
France,2010,98.7,4.24,1.99,5.78,51.1,0.876,43000,81.8,63200000,12.9
France,2011,98.7,4.21,1.99,5.76,50.9,0.878,42900,82.0,63600000,11.9
France,2012,98.7,4.17,1.98,5.75,50.5,0.882,43000,82.3,63900000,11.7
France,2013,98.7,4.13,1.98,5.23,50.0,0.887,43200,82.6,64200000,10.7
Georgia,1999,95.1,36.8,1.61,1.03,56.6,0.669,4920,70.7,4360000,2.5
Georgia,2000,94.7,34.3,1.59,0.87,58.5,0.673,5240,70.8,4300000,1.92
Georgia,2003,93.5,26.3,1.63,1.01,55.6,0.695,6630,70.7,4230000,3.69
Georgia,2004,93.2,23.7,1.66,1.19,54.6,0.705,7320,71.0,4210000,1.82
Georgia,2005,92.9,21.3,1.71,1.46,54.8,0.712,8050,71.5,4190000,1.43
Georgia,2006,92.6,19.1,1.77,1.53,55.0,0.724,9110,72.0,4170000,1.99
Georgia,2008,92.0,15.6,1.87,1.49,53.0,0.727,9100,71.7,4120000,3.6
Georgia,2009,91.8,14.2,1.92,1.52,54.3,0.732,9740,71.9,4100000,2.09
Georgia,2010,91.5,13.0,1.95,1.91,56.0,0.738,10500,72.2,4080000,1.83
Georgia,2011,91.2,12.1,1.98,2.03,57.1,0.749,11300,72.5,4060000,1.96
Georgia,2012,91.0,11.4,2.0,1.98,57.0,0.756,11700,72.9,4050000,2.88
Georgia,2013,90.7,10.9,2.0,2.18,58.8,0.764,12300,73.2,4040000,4.14
Georgia,2014,90.5,10.5,2.0,2.38,60.0,0.771,12600,73.3,4020000,4.14
Germany,1999,99.2,5.36,1.35,11.1,53.5,0.869,43000,78.4,81400000,10.4
Germany,2000,99.2,5.22,1.35,11.3,53.5,0.876,43700,78.7,81500000,10.4
Germany,2001,99.2,5.09,1.35,11.1,53.0,0.883,43500,78.8,81500000,10.3
Germany,2002,99.2,4.97,1.35,11.1,52.2,0.889,43200,78.9,81600000,10.2
Germany,2003,99.2,4.85,1.35,10.9,51.4,0.899,43700,79.3,81600000,9.72
Germany,2004,99.2,4.73,1.35,10.6,51.9,0.9,44000,79.6,81600000,9.21
Germany,2005,99.2,4.61,1.36,10.8,52.8,0.91,45800,79.9,81500000,8.64
Germany,2006,99.2,4.49,1.36,10.5,54.1,0.914,47200,80.0,81300000,8.29
Germany,2007,99.2,4.38,1.37,10.5,54.8,0.916,47700,80.2,81100000,8.35
Germany,2008,99.2,4.27,1.38,9.76,54.8,0.916,45100,80.3,80900000,8.4
Germany,2009,99.2,4.18,1.39,10.3,55.3,0.92,47100,80.5,80800000,8.84
Germany,2010,99.2,4.09,1.41,10.0,56.5,0.925,49800,80.7,80900000,8.77
Germany,2011,99.2,4.02,1.42,10.1,56.8,0.927,50000,80.8,81000000,8.5
Germany,2012,99.2,3.96,1.43,10.3,57.2,0.927,50000,80.8,81200000,8.71
Germany,2013,99.2,3.9,1.44,9.74,57.4,0.93,50900,81.0,81500000,8.76
Germany,2014,99.2,3.86,1.45,9.74,57.5,0.933,51200,80.9,81800000,8.53
Greece,1999,97.3,6.41,1.32,9.3,47.4,0.796,29500,78.4,11100000,2.91
Greece,2000,97.5,5.98,1.33,9.47,46.9,0.806,30600,78.7,11100000,2.5
Greece,2001,97.6,5.57,1.34,9.4,47.4,0.818,31700,78.9,11200000,2.29
Greece,2002,97.7,5.2,1.36,9.73,48.0,0.825,33400,79.1,11200000,2.78
Greece,2003,97.8,4.86,1.38,9.76,48.3,0.835,35000,79.2,11200000,2.52
Greece,2004,97.8,4.56,1.4,10.2,48.3,0.845,35100,79.4,11200000,2.82
Greece,2005,98.1,4.31,1.42,10.1,49.0,0.851,37000,79.7,11200000,2.76
Greece,2006,98.2,4.11,1.44,10.3,49.3,0.849,38100,79.6,11100000,2.39
Greece,2007,98.3,3.97,1.44,10.1,49.6,0.857,37900,80.0,11000000,2.56
Greece,2008,98.4,3.91,1.43,9.53,49.0,0.859,36200,80.2,11000000,2.72
Greece,2009,98.4,3.91,1.41,8.95,47.5,0.857,34100,80.4,10900000,2.57
Greece,2010,98.5,3.97,1.39,8.74,44.2,0.853,31100,80.5,10800000,3.37
Greece,2011,98.6,4.08,1.37,8.49,40.5,0.856,29000,80.6,10800000,3.58
Greece,2012,98.7,4.23,1.35,7.62,38.7,0.858,28200,80.9,10700000,3.86
Greece,2013,99.0,4.42,1.33,7.36,38.9,0.866,28600,81.0,10700000,3.96
Greece,2014,99.0,4.58,1.31,7.04,39.9,0.868,28700,80.9,10700000,3.69
"Hong Kong, China",1999,96.8,4.15,0.98,6.1,58.2,0.827,36300,80.4,6610000,11.5
"Hong Kong, China",2000,96.8,3.91,0.97,5.68,58.1,0.835,36300,80.7,6660000,12.6
"Hong Kong, China",2001,96.8,3.7,0.96,5.9,57.1,0.842,36700,81.1,6700000,13.1
"Hong Kong, China",2002,96.8,3.51,0.95,6.43,56.4,0.851,37900,81.4,6720000,13.6
