country,year,basic_sanitation_access_percent,child_mortality_0_5_year_olds_dying_per_1000_born,children_per_woman_total_fertility,co2_emissions_tonnes_per_person,employment_rate_percent,hdi,income_per_person_gdppercapita_ppp_inflation_adjusted,life_expectancy,population_total,suicide_per_100000_people
"Hong Kong, China",2003,96.8,3.35,0.96,6.17,57.0,0.862,40900,81.7,6740000,15.4
"Hong Kong, China",2004,96.7,3.22,0.97,6.47,57.5,0.871,43700,81.9,6770000,13.4
"Hong Kong, China",2005,96.7,3.1,0.99,6.17,57.9,0.883,46500,82.1,6800000,12.1
"Hong Kong, China",2006,96.7,3.0,1.02,6.38,58.4,0.887,49000,82.3,6840000,10.5
"Hong Kong, China",2007,96.7,2.91,1.05,6.22,58.2,0.896,49800,82.5,6880000,9.98
"Hong Kong, China",2008,96.6,2.82,1.08,6.01,57.1,0.898,48500,82.7,6920000,11.4
"Hong Kong, China",2009,96.6,2.74,1.12,5.76,56.6,0.901,51400,82.8,6970000,10.9
"Hong Kong, China",2010,96.6,2.65,1.15,6.16,57.5,0.904,53500,83.0,7010000,8.78
"Hong Kong, China",2011,96.6,2.56,1.18,6.07,58.2,0.911,53800,83.2,7050000,8.8
"Hong Kong, China",2012,96.5,2.47,1.22,6.26,58.8,0.916,55200,83.4,7090000,10.7
"Hong Kong, China",2013,96.5,2.39,1.24,6.38,58.7,0.924,56400,83.6,7130000,9.48
"Hong Kong, China",2014,96.5,2.3,1.27,5.9,58.8,0.927,57200,83.7,7190000,10.0
Hungary,1999,98.0,10.2,1.31,5.73,45.8,0.769,19500,71.9,10200000,26.2
Hungary,2000,98.0,9.54,1.29,5.91,46.0,0.777,20300,72.5,10200000,23.2
Hungary,2001,98.0,8.94,1.29,5.83,46.0,0.784,21300,72.6,10200000,22.3
Hungary,2002,98.0,8.4,1.29,6.11,46.7,0.793,22300,72.7,10100000,21.5
Hungary,2003,98.0,7.95,1.3,5.98,46.5,0.795,23400,73.1,10100000,21.3
Hungary,2004,98.0,7.55,1.3,6.0,46.5,0.802,24400,73.1,10100000,20.1
Hungary,2005,98.0,7.19,1.31,5.96,46.8,0.811,25500,73.5,10100000,18.8
Hungary,2006,98.0,6.85,1.32,5.85,46.6,0.814,25600,73.6,10000000,18.4
Hungary,2007,98.0,6.52,1.32,5.75,46.1,0.818,25900,74.2,9990000,18.6
Hungary,2008,98.0,6.22,1.33,5.21,45.0,0.823,24200,74.4,9960000,19.0
Hungary,2009,98.0,6.0,1.33,5.26,44.9,0.826,24500,74.8,9930000,18.7
Hungary,2010,98.0,5.86,1.33,5.09,45.2,0.823,25100,75.1,9900000,18.3
Hungary,2011,98.0,5.74,1.33,4.75,45.9,0.826,24800,75.4,9860000,17.4
Hungary,2012,98.0,5.6,1.34,4.46,46.8,0.835,25400,75.9,9830000,15.3
Hungary,2013,98.0,5.4,1.35,4.48,49.5,0.833,26500,76.0,9800000,14.2
Hungary,2014,98.0,5.14,1.36,4.78,51.1,0.835,27600,75.9,9780000,13.7
Hungary,2015,98.0,4.83,1.37,4.87,52.9,0.838,28300,76.3,9750000,12.7
Iceland,1999,98.8,4.05,2.01,10.5,76.8,0.861,40600,80.3,280000,17.9
Iceland,2000,98.8,3.86,2.0,10.1,76.6,0.867,41600,80.6,283000,12.0
Iceland,2001,98.8,3.68,2.01,10.5,74.7,0.876,41500,80.8,285000,10.2
Iceland,2002,98.8,3.51,2.02,10.4,73.7,0.882,42200,81.2,288000,8.55
Iceland,2003,98.8,3.35,2.04,10.7,73.3,0.886,45100,81.4,291000,11.3
Iceland,2004,98.8,3.2,2.07,10.1,73.8,0.891,47200,81.6,295000,10.5
Iceland,2005,98.8,3.07,2.09,10.5,74.5,0.893,48600,81.7,300000,9.84
Iceland,2006,98.8,2.94,2.1,11.5,75.0,0.899,51800,81.9,305000,11.2
Iceland,2007,98.8,2.83,2.1,12.2,73.8,0.892,51900,82.2,311000,10.8
Iceland,2008,98.8,2.72,2.09,11.8,69.3,0.891,48200,82.4,316000,10.3
Iceland,2009,98.8,2.62,2.07,11.3,69.2,0.892,46600,82.6,320000,13.4
Iceland,2010,98.8,2.52,2.04,10.8,69.1,0.901,47300,82.8,323000,8.09
Iceland,2011,98.8,2.43,2.01,10.7,69.9,0.908,47700,82.9,326000,10.5
Iceland,2012,98.8,2.34,1.99,10.7,71.1,0.92,49200,83.2,327000,13.5
Iceland,2013,98.8,2.26,1.96,10.5,72.5,0.924,49700,83.7,329000,12.2
Iceland,2014,98.8,2.18,1.95,10.7,74.0,0.927,51500,83.7,330000,11.3
Iceland,2015,98.8,2.1,1.93,10.5,75.4,0.932,54100,83.8,332000,11.2
Ireland,1999,89.5,7.15,1.95,12.0,56.8,0.857,48000,76.8,3780000,11.8
Ireland,2000,89.6,6.89,1.96,12.4,57.3,0.863,49700,77.3,3840000,12.2
Ireland,2001,89.7,6.5,1.96,11.8,57.4,0.871,51800,77.8,3910000,10.9
Ireland,2002,89.8,6.04,1.97,11.5,57.5,0.879,52500,78.3,3980000,10.8
Ireland,2003,89.9,5.59,1.98,11.4,57.9,0.888,55000,78.7,4060000,10.9
Ireland,2004,90.0,5.19,1.98,11.6,59.8,0.893,56900,79.1,4140000,10.4
Ireland,2005,90.1,4.86,1.99,11.3,60.5,0.895,58200,79.4,4230000,10.1
Ireland,2006,90.2,4.62,1.99,11.0,60.9,0.899,59500,79.7,4320000,9.94
Ireland,2007,90.3,4.44,2.0,10.7,59.5,0.9,55700,80.0,4420000,10.9
Ireland,2008,90.4,4.3,2.0,9.38,54.7,0.896,52300,80.2,4490000,11.3
Ireland,2010,90.6,4.07,2.0,8.28,51.7,0.894,52900,80.8,4590000,11.6
Ireland,2011,90.7,3.98,2.0,8.29,51.4,0.899,52800,81.0,4610000,11.3
Ireland,2012,90.8,3.92,2.0,8.06,52.7,0.908,53300,81.2,4620000,9.92
Israel,1999,100.0,6.89,2.92,10.0,54.4,0.853,31600,78.9,5950000,6.26
Israel,2000,100.0,6.63,2.92,10.4,54.0,0.857,30900,79.0,6060000,6.15
Israel,2001,100.0,6.37,2.91,9.62,52.7,0.865,30300,78.9,6170000,5.89
Israel,2002,100.0,6.11,2.91,9.95,52.6,0.865,30000,79.5,6280000,6.36
Israel,2003,100.0,5.85,2.91,9.18,53.3,0.867,30700,79.9,6400000,6.09
Israel,2004,100.0,5.58,2.91,8.66,54.7,0.871,31400,80.3,6530000,6.09
Israel,2005,100.0,5.33,2.92,9.31,55.5,0.872,32600,80.4,6680000,5.29
Israel,2006,100.0,5.1,2.93,9.18,56.8,0.881,33800,80.8,6850000,4.59
Israel,2007,100.0,4.9,2.95,9.69,57.9,0.88,34200,81.0,7020000,4.77
Israel,2008,100.0,4.72,2.97,8.89,56.8,0.882,33700,81.4,7190000,5.44
Israel,2009,100.0,4.56,3.0,9.3,57.7,0.887,35000,81.9,7350000,6.31
Israel,2010,100.0,4.4,3.01,9.17,58.4,0.892,36000,82.0,7490000,5.18
Israel,2011,100.0,4.25,3.03,9.83,59.2,0.893,36100,82.3,7610000,5.44
Israel,2012,100.0,4.12,3.03,8.41,59.8,0.895,36900,82.5,7730000,4.57
Israel,2013,100.0,4.01,3.02,7.88,60.4,0.9,37600,82.0,7850000,4.66
Israel,2014,100.0,3.92,3.0,8.15,60.8,0.901,37700,82.7,7980000,4.07
Italy,2005,98.8,4.34,1.38,8.36,45.6,0.862,45100,81.3,58500000,4.57
Italy,2006,98.8,4.23,1.4,8.16,45.7,0.866,45500,81.5,58700000,4.63
Italy,2007,98.8,4.14,1.41,7.94,45.6,0.868,44800,81.6,58900000,4.81
Italy,2008,98.8,4.06,1.42,7.06,44.5,0.868,42200,81.8,59100000,4.8
Italy,2009,98.8,3.97,1.43,7.19,44.0,0.871,42800,82.1,59300000,4.8
Italy,2010,98.8,3.88,1.43,6.95,43.9,0.875,43000,82.2,59600000,5.07
Italy,2011,98.8,3.78,1.43,6.56,43.5,0.874,41600,82.4,59900000,5.26
Italy,2012,98.8,3.68,1.44,6.06,42.4,0.873,40400,82.6,60200000,5.2
Italy,2013,98.8,3.56,1.45,5.77,42.4,0.874,40000,82.8,60400000,4.97
Italy,2014,98.8,3.43,1.46,5.88,42.6,0.875,40400,82.7,60600000,4.69
Japan,1999,100.0,4.5,1.32,9.93,59.6,0.855,35700,81.6,128000000,18.2
Japan,2000,100.0,4.3,1.31,9.8,59.1,0.859,35800,81.9,128000000,17.6
Japan,2001,100.0,4.13,1.3,10.0,58.2,0.862,35700,82.2,128000000,17.9
Japan,2002,100.0,3.99,1.3,10.1,58.0,0.865,36200,82.3,128000000,19.5
Japan,2003,100.0,3.86,1.3,10.0,57.8,0.869,37000,82.5,128000000,18.4
Japan,2004,100.0,3.74,1.31,10.1,57.9,0.873,37600,82.5,128000000,18.8
Japan,2005,100.0,3.63,1.32,9.88,58.0,0.877,38100,82.8,128000000,18.4
Japan,2006,100.0,3.52,1.33,10.1,58.4,0.88,38700,82.9,128000000,18.8
Japan,2007,100.0,3.41,1.34,9.59,58.2,0.881,38300,83.1,129000000,18.8
Japan,2008,100.0,3.3,1.36,9.05,57.3,0.88,36200,83.3,129000000,19.1
Japan,2009,99.9,3.2,1.37,9.46,57.0,0.885,37700,83.3,129000000,18.3
Japan,2010,99.9,3.4,1.39,9.85,56.8,0.89,37700,83.2,128000000,18.2
Japan,2011,99.9,3.0,1.4,10.2,56.7,0.895,38400,83.6,128000000,16.6
Japan,2012,99.9,2.91,1.42,10.3,57.2,0.9,39200,83.9,128000000,16.3
Japan,2013,99.9,2.82,1.43,9.88,57.7,0.904,39400,84.1,128000000,15.5
Japan,2014,99.9,3.02,1.44,9.58,58.0,0.906,39900,84.3,128000000,14.5
Jordan,2007,98.0,21.5,3.69,3.16,36.5,0.736,11700,76.2,6560000,0.128
Jordan,2008,98.0,20.9,3.68,3.1,37.1,0.734,11700,76.7,6890000,0.238
Jordan,2009,97.9,20.3,3.66,2.84,36.6,0.728,11300,76.9,7260000,0.344
Jordan,2010,97.8,19.8,3.64,2.77,35.9,0.725,11000,77.2,7660000,0.39
Jordan,2011,97.8,19.2,3.6,2.95,35.4,0.726,10700,77.5,8090000,0.507
Kazakhstan,1999,96.8,42.8,1.92,8.95,62.0,0.685,10300,64.7,14900000,30.6
Kazakhstan,2000,96.8,40.3,1.94,8.57,63.2,0.7,11700,64.7,14900000,30.1
Kazakhstan,2001,96.9,37.9,1.99,9.76,63.7,0.713,12800,64.7,15000000,28.8
Kazakhstan,2002,96.9,35.6,2.07,10.8,63.7,0.725,14000,64.6,15100000,29.1
Kazakhstan,2012,97.6,14.5,2.7,14.1,66.9,0.791,23700,69.4,17000000,20.5
Kazakhstan,2013,97.7,13.1,2.68,14.8,67.3,0.798,24400,70.1,17300000,18.0
Kazakhstan,2014,97.7,11.9,2.66,15.0,67.4,0.806,24300,70.6,17600000,16.4
Kuwait,1999,100.0,12.3,2.85,26.1,66.7,0.786,55000,78.1,2050000,1.2
Kuwait,2000,100.0,12.1,2.77,27.4,66.5,0.785,53600,79.2,2100000,1.02
Kuwait,2001,100.0,11.9,2.69,27.2,66.4,0.788,54300,78.6,2140000,1.46
Kuwait,2006,100.0,11.1,2.4,29.9,67.4,0.789,75600,79.0,2500000,1.14
Kuwait,2007,100.0,10.9,2.34,31.0,67.5,0.79,73000,78.1,2660000,0.992
Kuwait,2008,100.0,10.7,2.28,30.8,68.3,0.792,63900,78.7,2820000,1.34
Kuwait,2009,100.0,10.4,2.22,29.9,68.7,0.794,58800,80.1,2990000,0.857
Kuwait,2010,100.0,10.0,2.15,27.3,67.7,0.796,60900,80.9,3170000,0.946
Kuwait,2011,100.0,9.6,2.09,29.9,67.9,0.8,61400,81.0,3350000,1.45
Kuwait,2012,100.0,9.2,2.05,26.8,68.1,0.798,59000,81.3,3530000,0.926
Kuwait,2013,100.0,8.86,2.01,23.8,68.5,0.8,56600,81.6,3690000,1.47
Kyrgyz Republic,1999,92.5,49.5,2.66,0.936,59.4,0.594,3080,67.2,4920000,12.6
Kyrgyz Republic,2000,92.5,47.1,2.58,0.779,59.2,0.602,3210,67.3,4960000,13.0
Kyrgyz Republic,2001,92.8,44.9,2.54,0.986,56.3,0.604,3180,67.2,4990000,13.3
Kyrgyz Republic,2002,93.2,42.8,2.52,1.07,57.6,0.611,3370,67.1,5010000,11.0
Kyrgyz Republic,2003,93.5,40.9,2.54,1.15,58.2,0.615,3560,67.4,5040000,9.78
Kyrgyz Republic,2004,93.8,39.2,2.58,1.09,59.6,0.616,3520,67.4,5080000,9.88
Kyrgyz Republic,2005,94.1,37.6,2.65,1.06,60.3,0.621,3590,67.2,5120000,9.36
Kyrgyz Republic,2006,94.5,35.8,2.73,1.26,59.8,0.628,3860,67.6,5180000,9.73
Kyrgyz Republic,2007,94.8,33.8,2.82,1.44,59.2,0.631,4140,68.3,5250000,9.57
Kyrgyz Republic,2008,95.1,31.6,2.91,1.26,58.5,0.635,4210,69.3,5330000,8.76
Kyrgyz Republic,2009,95.4,29.6,2.98,1.17,58.5,0.636,4140,69.6,5420000,9.73
Kyrgyz Republic,2010,95.7,27.7,3.04,1.37,59.0,0.639,4340,70.3,5520000,9.06
Kyrgyz Republic,2011,96.0,26.1,3.08,1.78,58.5,0.649,4260,70.7,5620000,10.1
Kyrgyz Republic,2012,96.3,24.7,3.09,1.69,57.3,0.658,4630,71.2,5730000,8.3
Kyrgyz Republic,2013,96.6,23.6,3.08,1.73,57.4,0.663,4720,71.6,5840000,8.42
Kyrgyz Republic,2014,96.5,22.3,3.05,1.73,57.7,0.666,4810,71.9,5960000,7.55
Latvia,1999,88.5,14.2,1.18,2.97,48.1,0.728,12900,70.7,2380000,27.7
Latvia,2000,88.4,13.3,1.21,3.17,48.5,0.745,13900,70.1,2360000,25.8
Latvia,2001,88.8,12.6,1.25,3.22,49.8,0.76,15100,70.5,2330000,24.9
Latvia,2002,89.1,11.9,1.3,3.35,50.1,0.774,16500,71.0,2310000,22.3
Latvia,2003,89.3,11.2,1.35,3.4,50.5,0.788,18100,71.3,2280000,20.5
Latvia,2004,89.5,10.5,1.4,3.47,51.5,0.802,20200,70.9,2250000,21.0
Latvia,2005,89.6,9.84,1.43,3.74,54.9,0.809,22900,70.5,2230000,18.0
Latvia,2006,89.8,9.31,1.46,3.93,56.6,0.818,25400,70.9,2200000,16.8
Latvia,2007,90.0,8.82,1.49,3.78,56.7,0.821,24800,72.1,2170000,19.8
Latvia,2008,90.2,8.34,1.5,3.48,49.6,0.819,21600,72.9,2140000,19.8
Latvia,2009,90.3,7.81,1.51,4.04,47.5,0.817,21100,73.3,2120000,17.2
Latvia,2010,90.5,7.25,1.51,3.73,49.1,0.822,22900,73.9,2090000,17.1
Latvia,2011,90.7,6.64,1.51,3.64,50.8,0.825,24100,74.2,2070000,17.8
Latvia,2012,90.9,6.04,1.51,3.61,52.4,0.834,25000,74.2,2040000,15.4
Latvia,2013,91.1,5.47,1.52,3.56,52.9,0.836,25500,74.7,2020000,16.0
Latvia,2014,91.4,4.97,1.53,3.65,54.3,0.842,26700,75.1,2000000,15.5
Lithuania,1999,84.3,10.7,1.34,3.37,50.5,0.755,13900,72.2,3500000,42.4
Lithuania,2000,84.8,10.3,1.31,3.6,48.8,0.767,14900,71.7,3470000,39.5
Lithuania,2001,85.3,9.88,1.29,3.66,50.5,0.778,16100,72.0,3440000,40.5
Lithuania,2002,85.8,9.59,1.29,3.69,52.4,0.79,17900,72.0,3410000,37.8
Lithuania,2003,86.3,9.32,1.3,3.9,51.0,0.798,19300,72.0,3380000,36.1
Lithuania,2004,86.9,9.01,1.32,4.22,51.5,0.81,21100,71.3,3340000,34.3
Lithuania,2005,87.4,8.58,1.35,4.36,52.0,0.819,23100,70.9,3300000,27.0
Lithuania,2006,88.0,8.04,1.39,4.84,53.2,0.826,25900,70.6,3260000,27.4
Lithuania,2007,88.5,7.38,1.43,4.7,52.6,0.831,26900,71.4,3210000,30.1
Lithuania,2008,89.0,6.69,1.47,4.05,48.8,0.821,23100,73.0,3170000,30.4
Lithuania,2009,89.6,6.04,1.51,4.39,46.8,0.824,24000,73.2,3120000,27.6
Lithuania,2010,90.1,5.51,1.54,4.57,48.9,0.831,26100,73.7,3080000,28.0
Lithuania,2011,90.6,5.18,1.57,4.65,50.4,0.835,27400,74.0,3050000,25.7
Lithuania,2012,91.2,5.05,1.6,4.36,51.4,0.84,28700,74.0,3010000,30.9
Lithuania,2013,91.7,5.0,1.62,4.34,52.8,0.852,30000,74.6,2970000,26.1
Lithuania,2014,92.3,4.9,1.64,4.48,53.9,0.855,30800,74.7,2930000,25.2
Lithuania,2015,92.8,4.72,1.65,4.54,55.8,0.86,32000,74.9,2890000,22.9
Luxembourg,1999,97.7,4.8,1.7,20.0,52.1,0.86,96200,78.0,436000,11.7
Luxembourg,2000,97.7,4.56,1.68,21.0,51.9,0.865,97500,78.4,440000,13.6
Luxembourg,2001,97.7,4.33,1.67,22.6,52.5,0.869,100000,78.7,444000,15.5
Luxembourg,2002,97.7,4.1,1.66,23.4,51.2,0.87,101000,79.0,447000,9.51
Luxembourg,2003,97.7,3.88,1.65,26.2,51.3,0.876,103000,79.2,452000,11.2
Luxembourg,2004,97.7,3.68,1.64,26.5,52.3,0.88,104000,79.5,458000,8.8
Luxembourg,2005,97.7,3.49,1.63,25.7,52.7,0.884,108000,79.8,466000,11.1
Luxembourg,2006,97.7,3.33,1.62,23.9,52.7,0.888,115000,80.2,475000,13.6
Luxembourg,2007,97.7,3.2,1.61,23.1,52.2,0.89,112000,80.6,485000,6.84
Luxembourg,2008,97.6,3.08,1.59,21.5,54.3,0.885,105000,80.8,497000,7.8
Luxembourg,2009,97.6,2.99,1.58,22.1,54.5,0.893,108000,81.0,508000,8.6
Luxembourg,2010,97.6,2.9,1.57,21.4,54.1,0.892,108000,81.3,519000,8.41
Luxembourg,2011,97.6,2.83,1.56,20.5,55.0,0.892,105000,81.5,531000,7.8
Luxembourg,2012,97.6,2.77,1.55,19.0,54.9,0.892,107000,81.7,543000,5.45
Luxembourg,2013,97.6,2.71,1.56,17.7,55.6,0.895,109000,82.0,555000,9.85
Luxembourg,2014,97.6,2.64,1.56,16.5,55.4,0.899,111000,82.3,567000,9.04
Malaysia,2006,98.3,7.91,2.22,6.85,58.8,0.751,19500,74.5,26700000,0.267
Malaysia,2007,98.5,7.89,2.19,7.44,58.1,0.762,20100,74.3,27200000,0.245
Malaysia,2008,98.7,7.91,2.17,7.11,58.2,0.766,19400,74.2,27700000,0.159
Malaysia,2009,98.8,7.94,2.15,7.68,58.3,0.773,20500,74.4,28200000,0.15
Malaysia,2010,99.0,7.95,2.13,7.6,59.5,0.779,21300,74.6,28700000,0.116
Malaysia,2011,99.2,7.96,2.11,7.43,60.5,0.782,22100,74.8,29100000,0.104
Malaysia,2012,99.4,7.98,2.09,7.96,61.8,0.787,22900,75.3,29500000,0.0736
Malaysia,2013,99.5,8.0,2.07,8.08,62.2,0.792,23900,75.1,29900000,0.0684
Malta,1999,100.0,7.59,1.67,6.42,46.8,0.787,27500,78.8,394000,5.22
Malta,2000,100.0,7.34,1.6,6.13,46.9,0.793,27000,79.0,396000,6.8
Malta,2001,100.0,7.15,1.53,6.08,46.6,0.797,27500,79.1,399000,4.13
Malta,2002,100.0,7.0,1.47,6.56,46.0,0.804,28400,79.3,401000,4.45
Malta,2003,100.0,6.9,1.42,6.31,44.7,0.813,28200,79.6,403000,4.76
Malta,2004,100.0,6.83,1.4,6.42,45.0,0.828,29000,80.0,405000,3.67
Malta,2005,100.0,6.79,1.38,6.41,45.2,0.826,29600,80.3,406000,5.58
Malta,2006,100.0,6.78,1.38,6.58,46.1,0.831,30900,80.4,408000,5.57
Malta,2007,100.0,6.78,1.38,6.74,46.4,0.833,31900,80.6,409000,2.83
Malta,2008,100.0,6.79,1.38,6.15,46.1,0.835,31300,80.8,412000,7.98
Malta,2009,100.0,6.81,1.39,6.12,46.7,0.847,32900,81.1,414000,6.87
Malta,2010,100.0,6.83,1.4,6.26,47.7,0.848,32900,81.2,418000,4.38
Malta,2011,100.0,6.86,1.41,6.58,48.4,0.854,33900,81.4,422000,4.92
Malta,2012,100.0,6.9,1.42,5.73,49.4,0.861,35300,81.6,426000,4.65
Malta,2013,100.0,6.95,1.43,5.64,50.6,0.868,37200,81.8,430000,6.56
Malta,2014,100.0,6.99,1.44,3.96,51.3,0.877,39900,82.2,434000,7.19
Mauritius,1999,90.1,18.6,1.99,2.27,55.6,0.674,11900,72.3,1190000,11.5
Mauritius,2000,90.5,17.1,1.96,2.4,56.0,0.683,12200,72.6,1190000,9.51
Mauritius,2001,90.9,16.1,1.94,2.4,55.3,0.688,12300,72.7,1200000,10.8
Mauritius,2002,91.3,15.7,1.9,2.53,54.4,0.697,12900,72.9,1210000,7.37
Mauritius,2003,91.7,15.6,1.87,2.54,53.3,0.705,13400,73.2,1220000,7.77
Mauritius,2004,92.1,15.7,1.82,2.7,53.0,0.713,13600,73.2,1220000,8.08
Mauritius,2005,92.6,15.9,1.78,2.96,53.1,0.72,14200,73.3,1230000,9.46
Mauritius,2006,93.0,16.0,1.72,2.99,52.8,0.728,14900,73.8,1230000,9.88
Mauritius,2007,93.4,15.8,1.67,3.04,53.5,0.734,15700,73.7,1240000,6.59
Mauritius,2009,94.2,15.2,1.58,3.14,53.7,0.748,16800,74.2,1250000,7.44
Mauritius,2010,94.7,14.9,1.54,3.13,53.1,0.756,17500,74.6,1250000,8.86
Mauritius,2011,95.1,14.8,1.51,3.17,53.3,0.768,18000,74.7,1250000,8.68
Mauritius,2012,95.5,14.6,1.48,3.24,53.9,0.775,18600,75.1,1260000,7.67
Mauritius,2013,95.5,14.4,1.46,3.35,54.6,0.786,19200,75.0,1260000,9.42
Mauritius,2014,95.5,14.3,1.44,3.35,54.9,0.786,19900,75.2,1260000,8.08
Mauritius,2015,95.5,14.4,1.43,3.45,54.7,0.79,20600,75.2,1260000,7.53
Moldova,1999,74.3,31.3,1.44,0.851,46.6,0.609,5070,68.9,4200000,14.2
Moldova,2000,74.7,28.3,1.35,0.905,46.9,0.618,5400,69.2,4190000,16.2
Moldova,2001,75.1,25.4,1.29,0.971,46.8,0.628,5830,69.1,4180000,15.1
Moldova,2002,75.5,23.0,1.25,1.06,46.0,0.641,6230,69.1,4170000,15.9
Moldova,2003,75.4,21.1,1.22,1.11,45.8,0.651,6710,69.4,4170000,15.2
Moldova,2004,75.4,19.7,1.22,1.19,45.0,0.658,7230,68.9,4160000,15.5
Moldova,2005,75.3,18.8,1.23,1.21,43.6,0.667,7600,69.4,4150000,15.9
Moldova,2006,75.3,18.1,1.24,1.21,43.4,0.672,7850,69.6,4130000,13.9
Moldova,2007,75.3,17.7,1.26,1.26,42.6,0.677,8470,69.9,4110000,15.3
Moldova,2008,75.2,17.4,1.27,1.11,40.2,0.673,7980,70.1,4100000,15.9
Moldova,2009,75.2,17.2,1.27,1.18,38.9,0.681,8550,70.0,4090000,16.3
Moldova,2010,75.1,17.0,1.27,1.21,39.5,0.687,9050,71.7,4080000,12.3
Moldova,2011,75.0,16.8,1.27,1.17,38.5,0.693,9000,72.0,4080000,13.9
Moldova,2012,75.0,16.6,1.26,1.2,39.4,0.702,9820,72.7,4070000,13.7
Moldova,2013,74.9,16.4,1.26,1.16,39.7,0.705,10300,72.3,4070000,13.8
Moldova,2014,75.4,16.3,1.25,1.18,42.5,0.703,10400,72.1,4070000,13.3
Moldova,2015,75.8,16.2,1.24,1.21,41.0,0.705,10900,72.6,4070000,13.0
Mongolia,2015,58.5,17.7,2.76,8.29,55.0,0.73,10900,67.8,3060000,14.6
Montenegro,2006,91.1,8.85,1.82,3.32,40.5,0.775,16300,74.1,620000,15.9
Montenegro,2007,92.0,8.01,1.81,4.2,41.5,0.785,17400,74.3,621000,16.9
Montenegro,2008,92.9,7.21,1.79,2.7,40.3,0.787,16400,74.4,623000,13.6
Netherlands,1999,98.1,6.19,1.72,10.8,61.1,0.876,47600,78.3,15900000,8.0
Netherlands,2000,98.0,6.06,1.71,11.1,62.1,0.88,48300,78.4,16000000,7.8
Netherlands,2001,98.0,5.91,1.73,11.0,62.5,0.879,48100,78.6,16100000,8.23
Netherlands,2002,98.0,5.74,1.75,11.1,61.8,0.883,48000,78.9,16200000,7.79
Netherlands,2003,97.9,5.55,1.73,11.1,61.3,0.886,48700,79.3,16300000,7.8
Netherlands,2004,97.9,5.36,1.71,10.9,61.3,0.891,49600,79.6,16400000,8.16
Netherlands,2005,97.9,5.15,1.72,10.5,62.2,0.897,51300,80.0,16400000,7.89
Netherlands,2006,97.9,4.95,1.72,10.5,63.5,0.904,53100,80.3,16500000,6.93
Netherlands,2007,97.8,4.77,1.77,10.6,64.3,0.906,54000,80.5,16600000,7.27
Netherlands,2008,97.8,4.6,1.79,10.2,64.1,0.906,51800,80.8,16600000,7.63
Netherlands,2009,97.8,4.46,1.8,10.9,61.8,0.911,52200,81.0,16700000,7.97
Netherlands,2010,97.8,4.35,1.76,10.1,60.9,0.922,52800,81.1,16700000,8.28
Netherlands,2011,97.8,4.25,1.76,9.89,60.8,0.921,52000,81.2,16800000,8.73
Netherlands,2012,97.8,4.16,1.77,9.85,59.8,0.924,51800,81.4,16800000,9.02
Netherlands,2013,97.7,4.09,1.76,9.41,59.3,0.925,52400,81.6,16900000,8.91
Netherlands,2014,97.7,4.03,1.75,9.83,59.7,0.927,53100,81.7,16900000,8.91
Netherlands,2015,97.7,3.98,1.74,9.81,59.9,0.929,54000,81.7,17000000,8.88
New Zealand,1999,100.0,7.39,1.98,8.38,60.7,0.87,32900,78.4,3860000,11.8
New Zealand,2000,100.0,7.2,1.96,8.83,61.8,0.874,33800,78.6,3910000,12.9
New Zealand,2001,100.0,7.03,1.95,8.75,62.6,0.882,34800,78.8,3960000,11.7
