country,year,basic_sanitation_access_percent,child_mortality_0_5_year_olds_dying_per_1000_born,children_per_woman_total_fertility,co2_emissions_tonnes_per_person,employment_rate_percent,hdi,income_per_person_gdppercapita_ppp_inflation_adjusted,life_expectancy,population_total,suicide_per_100000_people
New Zealand,2002,100.0,6.87,1.98,9.05,62.7,0.885,35700,79.1,4020000,12.4
New Zealand,2003,100.0,6.72,2.02,8.82,63.7,0.887,36600,79.4,4080000,11.8
New Zealand,2004,100.0,6.58,2.05,9.1,64.6,0.889,37400,79.8,4140000,12.2
New Zealand,2005,100.0,6.46,2.09,8.96,65.1,0.892,38000,80.0,4190000,12.3
New Zealand,2006,100.0,6.37,2.11,8.65,65.5,0.894,38800,80.2,4230000,11.2
New Zealand,2007,100.0,6.28,2.12,8.79,65.1,0.895,38000,80.4,4280000,11.8
New Zealand,2008,100.0,6.21,2.13,8.05,63.6,0.898,37600,80.6,4320000,11.4
New Zealand,2009,100.0,6.14,2.12,8.01,63.1,0.899,37800,80.9,4370000,11.8
New Zealand,2010,100.0,6.09,2.1,7.77,63.5,0.902,38400,80.9,4420000,10.9
New Zealand,2011,100.0,6.05,2.07,8.06,63.0,0.905,39000,81.2,4470000,12.1
New Zealand,2012,100.0,6.02,2.05,7.82,63.7,0.907,39700,81.5,4520000,11.0
North Macedonia,1999,85.2,15.8,1.72,5.93,36.0,0.669,10200,71.5,2030000,6.83
North Macedonia,2000,85.2,14.9,1.68,5.87,37.0,0.673,9860,71.4,2040000,6.73
North Macedonia,2001,85.2,14.5,1.64,5.34,36.3,0.679,9980,71.5,2050000,6.8
North Macedonia,2002,85.1,14.4,1.61,5.51,33.9,0.686,10200,71.7,2050000,6.1
North Macedonia,2003,85.1,14.1,1.57,5.44,32.2,0.693,10600,72.2,2060000,7.77
North Macedonia,2004,86.4,13.6,1.53,5.47,33.2,0.702,11100,72.5,2060000,6.22
North Macedonia,2005,87.7,13.1,1.5,5.3,34.5,0.708,11700,72.3,2060000,7.1
North Macedonia,2006,89.0,12.4,1.48,4.6,35.4,0.713,12400,72.4,2070000,6.66
North Macedonia,2007,90.4,11.7,1.47,4.55,36.5,0.729,13100,72.9,2070000,6.61
North Macedonia,2008,91.8,10.9,1.46,4.2,37.6,0.731,13000,73.0,2070000,6.77
North Macedonia,2009,93.1,10.2,1.47,4.15,37.8,0.735,13500,73.4,2070000,4.85
North Macedonia,2010,94.5,9.98,1.47,4.49,38.1,0.739,13800,73.7,2070000,4.97
North Macedonia,2011,95.9,10.4,1.49,4.25,38.0,0.74,13700,73.7,2070000,6.83
North Macedonia,2012,97.0,11.2,1.5,3.79,39.6,0.743,14100,74.0,2080000,6.8
Norway,1999,98.1,4.85,1.85,9.46,64.6,0.917,57300,78.9,4500000,11.4
Norway,2000,98.1,4.7,1.78,9.71,64.4,0.916,58200,79.1,4520000,11.3
Norway,2001,98.1,4.55,1.75,9.46,64.4,0.918,58700,79.3,4550000,9.99
Norway,2002,98.1,4.37,1.8,9.71,63.1,0.924,58900,79.7,4570000,10.4
Norway,2003,98.1,4.2,1.83,9.72,62.9,0.934,60900,80.1,4600000,10.7
Norway,2004,98.1,4.03,1.84,9.5,62.6,0.932,62100,80.4,4630000,10.8
Norway,2005,98.1,3.86,1.9,9.53,63.4,0.936,63000,80.5,4670000,10.6
Norway,2006,98.1,3.7,1.9,9.81,64.7,0.938,64300,80.7,4720000,9.39
Norway,2007,98.1,3.54,1.96,9.52,65.7,0.938,63800,80.9,4770000,9.68
Norway,2008,98.1,3.38,1.98,9.1,64.4,0.938,61900,81.1,4830000,10.7
Norway,2009,98.1,3.23,1.95,9.47,63.4,0.942,61500,81.3,4890000,10.1
Norway,2010,98.1,3.1,1.88,9.2,63.1,0.943,61400,81.3,4950000,11.0
Norway,2011,98.1,2.98,1.85,8.99,63.3,0.942,62200,81.6,5010000,9.19
Norway,2012,98.1,2.88,1.91,8.86,62.8,0.946,62100,81.8,5080000,9.7
Norway,2013,98.1,2.8,1.87,8.74,62.5,0.945,62600,82.2,5140000,9.36
Norway,2014,98.1,2.72,1.84,8.72,62.1,0.948,63200,82.4,5200000,9.78
Oman,2013,99.8,11.2,2.8,15.0,66.0,0.815,30500,72.3,4030000,0.174
Poland,1999,87.6,9.31,1.35,8.26,47.1,0.785,16300,73.9,38600000,13.8
Poland,2000,88.3,8.81,1.31,8.17,46.2,0.791,16500,74.3,38500000,13.7
Poland,2001,88.9,8.43,1.28,7.97,44.5,0.799,16900,74.7,38500000,13.7
Poland,2002,89.6,8.1,1.28,8.32,44.3,0.804,17500,74.9,38400000,13.4
Poland,2003,90.3,7.82,1.28,8.43,44.1,0.802,18300,75.0,38400000,13.8
Poland,2004,90.9,7.56,1.3,8.41,45.3,0.808,19000,75.2,38400000,13.6
Poland,2005,91.6,7.31,1.32,8.76,46.7,0.813,20200,75.3,38400000,13.0
Poland,2006,92.3,7.01,1.34,8.76,48.8,0.819,21600,75.4,38400000,11.8
Poland,2007,92.9,6.67,1.36,8.58,50.7,0.824,22500,75.6,38400000,12.6
Poland,2008,93.6,6.32,1.37,8.23,50.7,0.828,23100,75.9,38400000,14.3
Poland,2009,94.3,5.98,1.37,8.71,50.5,0.835,24100,76.5,38300000,13.9
Poland,2010,95.0,5.68,1.36,8.7,50.7,0.84,25200,76.8,38300000,13.4
Poland,2011,95.6,5.42,1.34,8.52,50.7,0.836,25500,76.9,38200000,13.8
Poland,2012,96.3,5.21,1.33,8.43,50.6,0.851,25800,77.2,38200000,13.5
Poland,2013,97.0,5.03,1.32,8.11,51.7,0.853,26700,77.6,38100000,13.0
Poland,2014,97.7,4.86,1.31,8.22,52.4,0.858,27900,77.6,38000000,11.9
Portugal,1999,97.3,7.2,1.46,6.43,58.4,0.785,30500,76.8,10300000,3.68
Portugal,2000,97.5,6.67,1.46,6.36,59.0,0.79,30900,77.2,10300000,5.52
Portugal,2001,97.6,6.12,1.45,6.71,59.2,0.792,30900,77.5,10400000,8.78
Portugal,2002,97.8,5.58,1.44,6.19,58.1,0.796,30500,77.8,10400000,8.15
Portugal,2006,98.4,4.23,1.38,5.9,57.3,0.81,32400,79.4,10600000,6.66
Portugal,2007,98.5,4.08,1.36,5.67,57.4,0.814,32400,79.7,10600000,6.77
Portugal,2008,98.7,3.96,1.34,5.39,55.5,0.817,31400,79.9,10600000,6.79
Portugal,2009,98.8,3.87,1.33,5.0,54.5,0.822,31900,80.2,10600000,7.06
Portugal,2010,98.9,3.79,1.31,4.9,52.7,0.827,31400,80.5,10600000,6.59
Portugal,2011,99.1,3.73,1.29,4.75,50.7,0.829,30300,80.8,10500000,6.8
Portugal,2012,99.2,3.69,1.28,4.6,49.6,0.837,30100,81.1,10500000,6.67
Portugal,2013,99.3,3.66,1.26,4.61,50.6,0.84,30500,81.3,10400000,7.86
Qatar,2000,100.0,11.9,3.12,67.1,74.0,0.817,86600,71.5,615000,3.04
Romania,2000,75.0,21.1,1.31,4.57,58.7,0.715,13000,71.2,22000000,10.7
Romania,2001,74.9,20.5,1.32,4.66,52.6,0.724,14000,71.2,21900000,12.2
Romania,2002,75.0,20.0,1.33,4.85,51.6,0.732,14400,71.5,21700000,11.4
Romania,2003,75.0,19.3,1.36,4.83,50.8,0.745,16000,72.0,21600000,10.6
Romania,2004,75.1,18.0,1.38,4.8,49.6,0.755,16800,72.4,21400000,10.1
Romania,2005,75.9,16.2,1.4,4.95,50.5,0.766,18300,72.8,21200000,10.5
Romania,2006,76.7,14.4,1.43,5.09,50.8,0.78,19900,73.4,21000000,9.32
Romania,2007,77.5,13.0,1.45,5.05,50.8,0.795,22100,73.4,20800000,9.43
Romania,2008,78.3,12.0,1.46,4.25,50.1,0.798,21100,73.5,20600000,9.96
Romania,2009,79.1,11.5,1.47,4.11,51.1,0.797,20400,73.8,20500000,10.6
Romania,2010,79.9,11.3,1.48,4.42,50.2,0.798,20900,74.6,20300000,9.75
Romania,2011,80.6,11.1,1.49,4.28,50.9,0.796,21400,74.7,20200000,10.2
Romania,2012,81.3,10.6,1.49,3.84,50.5,0.8,22300,75.3,20100000,9.72
Romania,2013,82.1,9.97,1.5,3.87,51.0,0.803,23200,75.0,20000000,8.79
Romania,2014,82.8,9.21,1.51,3.91,50.6,0.806,24000,75.3,19900000,8.87
Romania,2015,83.6,8.47,1.52,3.83,50.4,0.808,25200,75.3,19800000,7.7
Serbia,1999,95.3,12.7,1.77,4.74,49.2,0.71,8930,71.4,9490000,15.5
Serbia,2000,95.2,12.2,1.74,5.24,48.8,0.716,9560,71.9,9410000,14.5
Serbia,2001,95.2,11.4,1.72,5.58,47.9,0.72,10200,72.2,9350000,14.2
Serbia,2002,95.2,10.5,1.69,6.0,46.9,0.726,10600,72.2,9290000,13.7
Serbia,2003,95.1,9.66,1.66,6.52,44.8,0.734,11600,72.3,9240000,13.0
Serbia,2004,95.4,8.92,1.64,5.62,43.2,0.742,12300,72.3,9190000,13.7
Serbia,2005,95.6,8.41,1.61,6.66,43.1,0.75,13000,72.7,9150000,13.8
Serbia,2006,95.8,8.12,1.6,6.56,44.6,0.754,13900,73.2,9100000,13.0
Serbia,2007,96.1,7.95,1.58,5.71,46.3,0.76,14700,73.5,9060000,12.6
Serbia,2008,96.3,7.79,1.58,5.09,43.7,0.762,14400,73.6,9020000,13.2
Serbia,2009,96.5,7.61,1.58,5.09,41.1,0.762,14600,74.1,8990000,11.1
Serbia,2010,96.8,7.39,1.58,5.47,39.2,0.772,15000,74.3,8960000,11.7
Serbia,2011,97.0,7.14,1.58,4.89,39.0,0.772,14900,74.8,8940000,11.7
Serbia,2012,97.2,6.87,1.59,5.0,40.6,0.775,15400,74.9,8920000,11.4
Serbia,2013,97.5,6.58,1.6,4.18,42.4,0.78,15300,75.0,8900000,10.6
Serbia,2014,97.6,6.28,1.6,4.93,42.7,0.785,15600,75.1,8880000,10.2
Singapore,1999,100.0,3.86,1.6,12.1,62.3,0.818,56000,79.4,4030000,9.0
Singapore,2000,100.0,3.6,1.41,12.1,62.2,0.822,53900,79.8,4080000,8.9
Singapore,2001,100.0,3.38,1.37,11.5,60.2,0.83,55500,80.1,4100000,8.92
Singapore,2002,100.0,3.2,1.27,7.54,60.0,0.839,58900,80.4,4130000,8.83
Singapore,2003,100.0,3.06,1.26,6.82,60.0,0.846,63900,80.7,4180000,8.68
Singapore,2004,100.0,2.96,1.26,7.12,60.6,0.869,67000,81.3,4270000,9.13
Singapore,2005,100.0,2.89,1.28,7.0,61.9,0.872,70800,81.6,4400000,8.89
Singapore,2006,100.0,2.86,1.29,4.35,62.9,0.879,74000,81.8,4580000,8.22
Singapore,2007,100.0,2.84,1.28,7.57,63.8,0.884,71500,82.1,4780000,7.5
Singapore,2008,100.0,2.83,1.26,11.8,63.6,0.885,69500,82.5,4970000,8.14
Singapore,2009,100.0,2.81,1.26,11.4,64.8,0.909,78200,82.8,5130000,6.62
Singapore,2010,100.0,2.79,1.26,8.88,65.1,0.914,81400,83.1,5260000,6.74
Singapore,2011,100.0,2.75,1.26,9.31,65.6,0.92,83000,83.3,5370000,8.43
Singapore,2012,100.0,2.72,1.25,10.3,65.6,0.923,85600,83.5,5450000,7.69
Singapore,2013,100.0,2.71,1.25,10.3,66.3,0.928,87800,83.8,5530000,7.3
Singapore,2014,100.0,2.72,1.24,11.0,67.7,0.929,89400,84.1,5590000,7.09
Slovak Republic,1999,97.9,9.78,1.27,7.64,48.4,0.763,15700,73.7,5400000,12.0
Slovak Republic,2000,97.9,9.43,1.24,8.03,48.7,0.765,16300,73.9,5400000,11.4
Slovak Republic,2001,97.9,9.1,1.23,7.79,48.6,0.772,17000,74.1,5400000,11.6
Slovak Republic,2002,97.9,8.79,1.22,7.85,49.9,0.777,17900,74.2,5400000,12.1
Slovak Republic,2003,97.9,8.5,1.23,7.95,49.0,0.785,18900,74.6,5400000,10.8
Slovak Republic,2004,97.9,8.22,1.25,7.94,49.9,0.794,20100,74.5,5400000,10.7
Slovak Republic,2007,97.9,7.43,1.32,7.67,53.6,0.822,25500,75.0,5400000,9.11
Slovak Republic,2008,97.9,7.19,1.34,6.98,51.7,0.823,24100,75.3,5400000,9.03
Slovak Republic,2009,97.9,6.97,1.36,7.13,50.3,0.829,25500,75.8,5400000,9.62
Slovak Republic,2011,97.9,6.58,1.38,6.65,50.9,0.841,26600,76.3,5410000,8.65
Slovak Republic,2012,97.9,6.39,1.4,6.57,50.8,0.844,26800,76.7,5420000,9.22
Slovak Republic,2013,97.9,6.22,1.41,6.2,51.5,0.845,27500,76.9,5430000,8.07
Slovenia,1999,99.1,5.51,1.21,7.78,53.4,0.824,26400,76.3,1990000,23.9
Slovenia,2000,99.1,5.22,1.21,8.25,54.3,0.835,27200,76.3,1990000,23.4
Slovenia,2001,99.1,4.94,1.22,8.32,54.6,0.843,28100,76.8,1990000,21.3
Slovenia,2002,99.1,4.68,1.24,8.2,52.8,0.85,28900,77.0,1990000,22.0
Slovenia,2003,99.1,4.44,1.27,8.37,55.4,0.857,30100,77.4,1990000,20.1
Slovenia,2004,99.1,4.21,1.31,8.5,55.4,0.861,31200,78.1,1990000,19.4
Slovenia,2005,99.1,3.99,1.36,8.57,55.8,0.868,32900,78.3,2000000,19.8
Slovenia,2006,99.1,3.78,1.4,8.59,56.9,0.873,35000,78.6,2010000,16.0
Slovenia,2007,99.1,3.58,1.44,9.01,56.9,0.878,36200,79.1,2020000,15.2
Slovenia,2008,99.1,3.39,1.48,8.03,55.9,0.877,33200,79.4,2030000,16.2
Slovenia,2009,99.1,3.21,1.52,8.02,54.9,0.881,33500,79.7,2040000,15.1
Slovenia,2010,99.1,3.05,1.54,7.98,53.3,0.883,33700,80.0,2050000,15.1
Slovenia,2011,99.1,2.89,1.57,7.69,52.6,0.876,32700,80.2,2060000,15.5
Slovenia,2012,99.1,2.75,1.58,7.36,51.6,0.884,32300,80.5,2060000,15.8
Slovenia,2013,99.1,2.61,1.6,6.55,52.1,0.886,33200,81.3,2070000,13.7
Slovenia,2014,99.1,2.48,1.61,6.58,52.2,0.886,33900,81.0,2070000,14.3
South Africa,2007,67.1,64.8,2.62,9.94,43.3,0.644,12600,54.3,49800000,0.966
South Korea,1999,100.0,7.48,1.35,9.41,58.4,0.817,23100,76.3,47400000,13.1
South Korea,2000,100.0,7.09,1.29,9.41,58.8,0.824,24000,76.9,47700000,13.9
South Korea,2001,100.0,6.71,1.25,9.67,59.8,0.832,25700,77.3,48000000,17.1
South Korea,2002,100.0,6.33,1.21,9.59,59.2,0.839,26400,77.7,48300000,21.1
South Korea,2003,100.0,5.93,1.18,9.88,59.8,0.847,27600,78.3,48500000,21.8
South Korea,2004,100.0,5.53,1.17,9.44,59.8,0.855,28700,78.8,48700000,22.3
South Korea,2005,100.0,5.15,1.16,9.53,59.8,0.862,30100,79.3,48900000,19.3
South Korea,2006,100.0,4.81,1.16,10.1,59.9,0.869,31700,79.8,49000000,21.8
South Korea,2007,100.0,4.53,1.17,10.3,59.5,0.874,32400,80.2,49200000,22.4
South Korea,2008,100.0,4.31,1.18,10.3,58.4,0.871,32500,80.5,49300000,26.3
South Korea,2009,100.0,4.13,1.19,11.4,58.5,0.882,34500,80.8,49500000,25.9
South Korea,2010,100.0,3.98,1.21,11.8,58.8,0.888,35500,81.2,49800000,25.9
South Korea,2011,100.0,3.85,1.22,11.7,59.2,0.89,36200,81.5,50100000,22.6
South Korea,2012,100.0,3.73,1.24,11.8,59.4,0.893,37200,81.9,50300000,22.5
South Korea,2013,100.0,3.61,1.26,11.6,60.1,0.896,38100,82.3,50600000,21.3
South Korea,2014,100.0,3.5,1.28,11.7,60.2,0.899,39000,82.6,50800000,20.2
Spain,1999,99.9,5.44,1.23,7.62,45.5,0.825,34900,79.5,40800000,6.48
Spain,2000,99.9,5.28,1.25,7.57,46.7,0.828,36000,79.8,41300000,5.98
Spain,2001,99.9,5.14,1.28,7.95,47.7,0.83,36500,79.9,41900000,6.22
Spain,2002,99.9,5.0,1.3,7.91,48.6,0.833,36900,80.0,42600000,6.3
Spain,2003,99.9,4.86,1.33,8.17,49.5,0.837,37400,80.3,43300000,6.25
Spain,2004,99.9,4.71,1.35,8.37,51.6,0.844,38100,80.6,44000000,5.89
Spain,2005,99.9,4.54,1.37,8.04,52.8,0.848,39000,81.0,44700000,5.53
Spain,2006,99.9,4.36,1.38,8.09,53.3,0.853,39600,81.2,45400000,5.38
Spain,2007,99.9,4.19,1.38,7.29,52.2,0.856,39400,81.4,46100000,5.71
Spain,2008,99.9,4.01,1.38,6.37,48.5,0.858,37500,81.8,46600000,5.6
Spain,2009,99.9,3.85,1.37,6.04,47.5,0.865,37400,82.1,46900000,5.04
Spain,2010,99.9,3.71,1.35,6.04,46.6,0.87,37000,82.3,47100000,5.04
Spain,2011,99.9,3.58,1.35,5.93,44.6,0.873,35900,82.4,47100000,5.59
Spain,2012,99.9,3.47,1.34,5.37,43.5,0.875,35500,82.7,46900000,6.13
Spain,2013,99.9,3.37,1.34,5.45,44.2,0.88,36100,82.8,46800000,6.19
Spain,2014,99.9,3.28,1.35,5.81,45.5,0.885,37500,82.8,46700000,5.62
Sweden,1999,99.3,4.1,1.56,6.16,59.0,0.897,40800,80.0,8880000,10.5
Sweden,2000,99.3,4.05,1.58,6.26,60.1,0.9,41200,80.2,8900000,10.8
Sweden,2001,99.3,3.99,1.67,6.35,60.0,0.903,42000,80.3,8920000,11.0
Sweden,2002,99.3,3.88,1.73,6.39,59.5,0.908,42800,80.5,8950000,10.4
Sweden,2003,99.3,3.75,1.77,6.28,58.9,0.896,44500,80.7,8990000,10.7
Sweden,2004,99.3,3.6,1.79,5.96,58.8,0.899,45600,81.0,9040000,11.1
Sweden,2005,99.3,3.45,1.87,5.9,58.8,0.902,47400,81.1,9100000,10.9
Sweden,2006,99.3,3.32,1.89,5.76,59.7,0.905,48700,81.3,9160000,10.3
Sweden,2007,99.3,3.21,1.92,5.49,59.9,0.901,48100,81.5,9240000,10.6
Sweden,2008,99.3,3.13,1.94,5.06,58.0,0.899,45600,81.7,9310000,11.2
Sweden,2009,99.3,3.06,1.99,5.63,57.7,0.906,47900,81.9,9390000,10.1
Sweden,2010,99.3,3.01,1.9,5.17,58.4,0.906,49100,82.0,9470000,10.0
Sweden,2011,99.3,2.97,1.91,4.86,58.4,0.908,48500,82.1,9540000,10.0
Sweden,2012,99.3,2.94,1.92,4.66,58.7,0.927,48600,82.3,9620000,10.7
Sweden,2013,99.3,2.91,1.92,4.46,58.9,0.929,49400,82.5,9690000,9.9
Sweden,2014,99.3,2.87,1.91,4.41,59.2,0.932,51100,82.5,9760000,10.1
Switzerland,1999,99.9,5.64,1.44,6.11,65.6,0.889,58400,80.3,7140000,15.4
Switzerland,2000,99.9,5.55,1.43,6.28,66.1,0.891,58800,80.6,7180000,14.6
Switzerland,2001,99.9,5.44,1.42,6.02,65.7,0.891,58400,80.9,7220000,15.5
Switzerland,2002,99.9,5.33,1.42,6.15,65.0,0.896,58000,81.1,7270000,13.2
Switzerland,2003,99.9,5.2,1.42,6.18,64.4,0.901,59200,81.4,7320000,13.1
Switzerland,2004,99.9,5.07,1.43,6.2,64.0,0.906,60700,81.7,7390000,13.2
Switzerland,2005,99.9,4.94,1.44,6.09,64.7,0.912,62700,81.9,7460000,13.1
Switzerland,2006,99.9,4.82,1.46,5.76,65.2,0.915,64700,82.2,7540000,13.3
Switzerland,2007,99.9,4.72,1.47,5.87,65.9,0.917,65300,82.4,7620000,12.6
Switzerland,2008,99.9,4.63,1.49,5.65,65.5,0.927,63000,82.5,7710000,11.2
Switzerland,2009,99.9,4.55,1.5,5.77,63.7,0.932,64300,82.8,7810000,9.84
Switzerland,2010,99.9,4.49,1.51,5.19,64.5,0.932,64600,83.0,7910000,9.98
Switzerland,2011,99.9,4.44,1.52,5.28,64.5,0.935,64600,83.1,8010000,9.84
Switzerland,2012,99.9,4.4,1.53,5.33,64.4,0.938,65000,83.3,8110000,9.9
Tajikistan,1999,89.7,83.9,3.91,0.359,51.6,0.538,1250,66.6,6220000,3.55
Tajikistan,2000,90.0,77.6,3.78,0.362,51.8,0.548,1350,66.8,6320000,3.24
Tajikistan,2001,90.4,71.5,3.68,0.292,51.6,0.559,1470,67.0,6430000,2.96
Tajikistan,2002,90.8,65.9,3.59,0.316,51.6,0.571,1600,67.3,6540000,3.13
Tajikistan,2003,91.2,60.7,3.53,0.383,51.6,0.582,1740,67.5,6660000,2.95
Thailand,2001,92.7,19.8,1.62,3.0,72.1,0.665,10600,73.1,64100000,7.42
Thailand,2006,94.6,15.4,1.56,3.49,72.3,0.71,13500,76.0,66200000,5.51
Thailand,2007,95.0,14.7,1.55,3.43,72.3,0.714,13600,76.5,66500000,5.5
Thailand,2008,95.4,14.0,1.55,3.64,71.8,0.718,13500,76.9,66900000,5.47
Thailand,2009,95.8,13.3,1.55,3.82,71.9,0.721,14400,77.0,67200000,5.41
Thailand,2010,96.3,12.7,1.54,3.76,72.8,0.729,14500,77.4,67500000,5.46
Thailand,2011,96.7,12.1,1.53,3.99,72.3,0.733,15400,77.7,67800000,5.6
Thailand,2012,97.1,11.5,1.52,4.17,70.9,0.731,15800,78.0,68100000,5.46
Thailand,2013,97.5,11.0,1.51,4.07,70.2,0.739,15900,78.1,68400000,5.39
Thailand,2014,98.0,10.5,1.5,4.1,68.7,0.746,16300,78.2,68700000,5.65
Thailand,2015,98.4,9.98,1.48,4.07,68.1,0.753,16800,78.0,69000000,5.54
Tunisia,2008,85.2,18.9,2.1,2.31,40.1,0.71,9870,76.0,10500000,0.19
Turkey,2008,91.2,18.6,2.17,4.43,40.8,0.721,18800,76.8,71300000,1.46
Turkey,2009,92.3,17.3,2.16,4.35,42.6,0.743,20100,76.7,72300000,2.09
Turkey,2010,93.4,16.2,2.14,4.63,44.5,0.759,22000,76.8,73400000,1.54
Turkey,2011,94.5,15.2,2.12,4.74,44.8,0.765,22700,77.0,74700000,1.91
Turkey,2012,95.6,14.3,2.11,4.55,45.3,0.781,24200,77.0,75900000,2.34
Turkey,2013,96.6,13.4,2.09,4.69,45.2,0.792,25000,77.1,77200000,2.06
Turkey,2014,97.2,12.6,2.07,4.86,45.8,0.8,26000,77.4,78500000,1.91
Ukraine,1999,94.4,18.4,1.15,5.85,50.3,0.671,7220,68.0,48800000,25.3
Ukraine,2000,94.5,17.6,1.14,6.28,49.8,0.681,7970,68.2,48400000,23.0
Ukraine,2001,94.6,16.7,1.15,6.17,50.4,0.689,8470,68.1,48000000,22.2
Ukraine,2002,94.7,15.9,1.17,6.46,50.5,0.699,9350,68.3,47600000,21.8
Ukraine,2003,94.8,15.1,1.2,6.58,50.5,0.706,10600,68.0,47200000,20.0
United Kingdom,2000,99.1,6.44,1.67,9.75,58.1,0.871,39100,78.3,59100000,6.35
United Kingdom,2001,99.1,6.35,1.67,9.45,58.2,0.874,39800,78.5,59300000,6.37
United Kingdom,2002,99.1,6.26,1.69,9.6,58.4,0.878,41000,78.6,59600000,6.06
United Kingdom,2003,99.1,6.16,1.72,9.58,58.6,0.886,41700,79.0,59900000,6.27
United Kingdom,2004,99.1,6.05,1.76,9.46,58.8,0.89,42700,79.3,60300000,6.01
United Kingdom,2005,99.1,5.92,1.8,9.33,58.8,0.889,43600,79.5,60800000,6.09
United Kingdom,2006,99.1,5.76,1.84,9.1,58.7,0.892,44300,79.8,61500000,5.73
United Kingdom,2007,99.1,5.57,1.86,8.77,58.7,0.896,43800,80.0,62100000,6.25
United Kingdom,2008,99.1,5.37,1.88,7.87,57.3,0.899,41700,80.3,62800000,6.17
United Kingdom,2009,99.1,5.16,1.89,8.07,57.0,0.905,42100,80.6,63500000,6.0
United Kingdom,2010,99.1,4.96,1.89,7.34,56.8,0.899,42500,80.8,64000000,6.29
United Kingdom,2011,99.1,4.78,1.89,7.56,57.1,0.897,42800,80.9,64500000,6.27
United Kingdom,2012,99.1,4.64,1.88,7.36,57.4,0.914,43400,81.0,65000000,6.65
United Kingdom,2013,99.1,4.53,1.88,6.71,58.4,0.918,44200,81.1,65400000,6.59
United Kingdom,2014,99.1,4.45,1.88,6.42,58.9,0.916,44900,81.0,65900000,6.7
United States,1999,100.0,8.45,2.05,21.3,63.8,0.881,50200,77.0,282000000,9.53
United States,2000,100.0,8.33,2.03,20.7,62.9,0.884,50200,77.1,285000000,9.81
United States,2001,100.0,8.23,2.02,20.7,61.9,0.886,50600,77.2,287000000,9.95
United States,2002,100.0,8.14,2.05,20.7,61.4,0.889,51600,77.3,290000000,9.81
United States,2003,100.0,8.05,2.06,20.9,61.4,0.892,53000,77.7,292000000,10.0
United States,2004,100.0,7.96,2.06,20.8,61.8,0.896,54400,77.7,295000000,9.92
United States,2005,100.0,7.86,2.11,20.3,62.2,0.899,55400,78.0,298000000,10.0
United States,2006,100.0,7.75,2.12,20.4,62.0,0.902,55900,78.2,301000000,10.3
Uzbekistan,1999,92.7,62.9,2.74,4.91,57.7,0.596,2790,65.1,24800000,9.2
Uzbekistan,2000,93.3,60.2,2.64,4.9,57.8,0.603,2870,65.1,25100000,8.77
Uzbekistan,2001,93.9,57.5,2.56,5.03,57.8,0.61,2940,65.0,25400000,7.03
Uzbekistan,2002,94.5,54.7,2.51,4.91,57.8,0.615,3030,64.9,25700000,6.27
Uzbekistan,2003,95.1,52.0,2.48,4.82,57.9,0.622,3220,64.8,26100000,5.34
Uzbekistan,2004,95.7,49.3,2.46,4.43,58.0,0.629,3410,64.5,26400000,5.21
